招聘公司,招聘职位,薪资,学历要求,职位详细页面url,职位详细内容
华远智德(北京)科技有限公司,数据工程师,6K-10K,本科,https://jobs.zhaopin.com/CC773821670J00215741511.htm,
广州北珠联科技有限公司,Python人工智能开发实训生,6K-8K,中专,https://jobs.zhaopin.com/CC872369640J00341638505.htm,
广州达美智能科技有限公司,python开发工程师,6K-12K,本科,https://jobs.zhaopin.com/CC460067285J00143121802.htm,
深圳市百诺信科技有限公司,Python高级开发工程师,15K-20K,学历不限,https://jobs.zhaopin.com/549366527250079.htm,
广州合信信息技术有限公司,后端研发工程师-Python,6K-12K,本科,https://jobs.zhaopin.com/CC888705210J00316827602.htm,
广州百伦供应链科技有限公司,Python大数据开发工程师,10K-15K,本科,https://jobs.zhaopin.com/CC451192724J00472856101.htm,
广东宜教通教育有限公司,python工程师,8K-12K,本科,https://jobs.zhaopin.com/CC310603730J00127835606.htm,
中软国际科技服务有限公司,【UC】Python开发,薪资面议,本科,https://jobs.zhaopin.com/CC508620126J00424240105.htm,
中公教育广东分公司,IT培训讲师（Python）,10K-15K,本科,https://jobs.zhaopin.com/CC217000520J00045668812.htm,
纬创软件(珠海),python开发工程师（粤语）,10K-20K,本科,https://jobs.zhaopin.com/CC120817715J00205363311.htm,
上海隆长信息技术有限公司,python开发工程师,10K-15K,本科,https://jobs.zhaopin.com/CC580460084J00445588501.htm,
同方鼎欣科技股份有限公司,Python开发工程师,10K-15K,本科,https://jobs.zhaopin.com/CC120137343J00179837814.htm,
东软云科技有限公司,python开发工程师,7K-14K,学历不限,https://jobs.zhaopin.com/CC663299424J00304866407.htm,
武汉佰钧成技术有限责任公司,python,10K-15K,本科,https://jobs.zhaopin.com/CC364485728J00432507705.htm,
广东珠江智联信息科技股份有限公司,python后端软件工程师,5K-7K,本科,https://jobs.zhaopin.com/CC380638939J00321149006.htm,
上海华钦信息科技股份有限公司,RPA开发（java/C#/Python/vb等开发）,10K-20K,本科,https://jobs.zhaopin.com/CC137755791J00281073104.htm,
北京码农星球软件有限公司,python开发工程师,10K-15K,本科,https://jobs.zhaopin.com/CC846338930J00180374010.htm,
广州北珠联科技有限公司,Python人工智能开发助理,6K-8K,中专,https://jobs.zhaopin.com/CC872369640J00341825205.htm,
广州粤嵌通信科技股份有限公司,青少年Python讲师（佛山校区）,6K-8K,大专,https://jobs.zhaopin.com/CC425875424J00378329507.htm,
亿达信息技术有限公司深圳分公司,python开发,10K-15K,本科,https://jobs.zhaopin.com/CC140200303J00407485507.htm,
北京天盛京享科技有限公司,python工程师（区块链）,20K-40K,本科,https://jobs.zhaopin.com/CC839864870J00177422713.htm,
广州建杉科技有限公司,python工程师,8K-10K,大专,https://jobs.zhaopin.com/CC422601730J00324773006.htm,
广州粤嵌通信科技股份有限公司,青少年Python讲师,5K-8K,本科,https://jobs.zhaopin.com/CC425875424J00316960907.htm,
深圳市德科信息技术有限公司广州分公司,数据库（Python）,8K-10K,本科,https://jobs.zhaopin.com/CC278294985J00320942603.htm,
广州粤嵌通信科技股份有限公司,Python/C++ 课程研发,8K-10K,大专,https://jobs.zhaopin.com/CC425875424J00374617607.htm,
神州数码通用软件(上海)有限公司,python开发(驻场电信),10K-15K,大专,https://jobs.zhaopin.com/CC156342623J00401597807.htm,
广州粤嵌通信科技股份有限公司,Python人工智能讲师,15K-30K,大专,https://jobs.zhaopin.com/425875424250768.htm,
广州粤嵌通信科技股份有限公司, Python讲师 ,15K-20K,本科,https://jobs.zhaopin.com/CC425875424J00228792907.htm,
广州建杉科技有限公司,python开发,8K-10K,大专,https://jobs.zhaopin.com/CC422601730J00324769906.htm,
深圳市德科信息技术有限公司广州分公司,java/c++/python ,8K-15K,本科,https://jobs.zhaopin.com/CC278294985J00246243103.htm,
广州市驴迹科技有限责任公司,Python web工程师 ,20K-35K,大专,https://jobs.zhaopin.com/CC623371828J00363956207.htm,
天讯瑞达通信技术有限公司,软件开发工程师（Python）,15K-30K,本科,https://jobs.zhaopin.com/CC000437925J00465196501.htm,
深圳市德科信息技术有限公司广州分公司,python开发工程师,8K-12K,本科,https://jobs.zhaopin.com/CC278294985J00248840403.htm,
蓝盾信息安全技术股份有限公司,OpenStack_Python开发工程师,10K-15K,本科,https://jobs.zhaopin.com/CC136106367J00406517205.htm,
佛山市顺德区思翔网络科技有限公司,Python开发工程师,12K-18K,大专,https://jobs.zhaopin.com/CC459954118J00229454404.htm,
Uniqsys优尼卡日本株式会社,日语Java/Python开发工程师-初级,5K-10K,本科,https://jobs.zhaopin.com/CC842910190J00180734304.htm,
深圳市德科信息技术有限公司广州分公司,python开发（双休·包吃·接受19本科）,8K-15K,本科,https://jobs.zhaopin.com/CC278294985J00323280103.htm,
深圳市德科信息技术有限公司广州分公司,python开发（20届+周末双休）,5.5K-9K,本科,https://jobs.zhaopin.com/CC278294985J00399707903.htm,
